90	377	305	43	8.65999984741211	353	53	46.5699996948242	59.0800018310547	119	398	345	81	10.9899997711182	405	.	.	.	130	411	388	76	17.1900005340576	426	60.8300018310547	62.3400001525879	61.6500015258789	52.3400001525879	.	62.9900016784668	50922	8346094	251.139999389648	0	1	50	56	67	3	2	2	4	1.3300000429153	1.3300000429153	1.3300000429153	1.3300000429153	55633	55633	.	0	0	1	53	.	.	.	1	0	0	0	0	1	.	.	.	1	0	0
96	.	320	60	5.92999982833862	329	29.5200004577637	41.310001373291	33.3199996948242	114	393	340	54	12.1800003051758	329	49.0900001525879	46.5699996948242	41.0400009155273	128	411	412	54	16.7600002288818	420	.	.	.	33.4000015258789	45.2400016784668	.	86220	7831346	215.729995727539	0	2	50	55	67	2	1	1	4	2.6700000762939	2.6700000762939	3	2.3299999237061	45627	45627	.	5	1	8	29.5200004577637	3	2	6	.	.	.	1	1	1	1	1	1	.	.	.
101	388	305	62	8.06999969482422	353	60.8300018310547	46.5699996948242	53.9199981689453	120	388	331	81	12	371	56.9099998474121	54.4500007629395	53.9199981689453	134	436	408	81	20.1900005340576	442	45.1699981689453	51.8199996948242	46.2000007629395	52.3400001525879	55.8899993896484	48.7900009155273	91806	6002118	64.8300018310547	1	2	51	58	70	3	2	2	4	1.3300000429153	1.1100000143051	1	1	90429	90429	.	1	1	2	60.8300018310547	2	1	3	1	5	5	1	1	1	1	1	1	1	1	1
122	407	331	79	12.0299997329712	389	56.9099998474121	62.3400001525879	61.6500015258789	133	419	359	79	17.6499996185303	420	56.9099998474121	62.3400001525879	61.6500015258789	87	407	345	43	13.8900003433228	397	.	.	.	61.810001373291	61.810001373291	.	77703	7153116	139.149993896484	0	2	56	61	73	1	1	1	5	1.3300000429153	2	2.3299999237061	2.3299999237061	2103	2103	.	0	1	0	56.9099998474121	0	3	0	.	.	.	0	1	0	0	1	0	.	.	.
126	423	345	75	15.0100002288818	389	60.8300018310547	57.0800018310547	61.6500015258789	138	427	354	81	16.8400001525879	389	60.8300018310547	62.3400001525879	61.6500015258789	159	453	416	81	23.8299999237061	451	60.8300018310547	62.3400001525879	61.6500015258789	60.6199989318848	62.9900016784668	62.9900016784668	16229	7384066	107.349998474121	1	2	54	60	72	3	1	1	4	2	2	2	2	4628	4628	.	0	1	0	60.8300018310547	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
99	366	293	50	6.38000011444092	371	53	59.7099990844727	59.0800018310547	104	382	305	59	7.94000005722046	380	60.8300018310547	62.3400001525879	61.6500015258789	115	377	326	27	9.92000007629395	380	.	.	.	58.2599983215332	62.9900016784668	.	89122	7619067	56.060001373291	1	3	51	57	69	3	1	1	4	1	1.3300000429153	1.3300000429153	1.6699999570847	22125	22125	.	0	0	1	53	0	0	0	.	.	.	0	0	1	0	0	0	.	.	.
117	393	331	31	8.94999980926514	353	25.6000003814697	43.939998626709	33.3199996948242	137	415	364	52	16.6399993896484	405	37.3400001525879	54.4500007629395	38.4700012207031	140	449	404	78	21.7800006866455	442	33.4300003051758	51.8199996948242	46.2000007629395	33.4000015258789	44.0499992370605	45.2400016784668	16229	7384066	153.929992675781	1	2	58	64	76	1	1	1	4	1.3300000429153	1.3300000429153	1.3300000429153	1.3300000429153	77521	77521	.	7	1	9	25.6000003814697	6	4	7	3	6	4	1	1	1	1	1	1	1	1	1
98	372	293	81	5.19999980926514	353	56.9099998474121	51.8199996948242	53.9199981689453	103	398	354	78	10.6499996185303	389	60.8300018310547	62.3400001525879	61.6500015258789	124	415	388	78	14.6199998855591	405	60.8300018310547	62.3400001525879	61.6500015258789	53.5200004577637	62.9900016784668	62.9900016784668	50922	7304091	93.5599975585938	0	3	48	55	66	2	1	1	5	2	1.5599999427795	1.6699999570847	1	64444	64444	.	0	1	3	56.9099998474121	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0
121	398	331	72	10	362	53	41.310001373291	56.5	109	415	364	79	16.4200000762939	412	60.8300018310547	49.189998626709	61.6500015258789	128	427	379	81	15.7700004577637	432	56.9099998474121	59.7099990844727	59.0800018310547	48.7900009155273	57.0699996948242	60.6199989318848	50922	4110000	239.5	0	.	46	53	64	3	2	2	5	2.3299999237061	1.8899999856949	1.6699999570847	1.6699999570847	77406	77406	.	0	5	2	53	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0
112	419	293	65	12.6499996185303	342	41.2599983215332	36.0499992370605	43.6199989318848	124	419	331	44	12.0600004196167	342	53	46.5699996948242	51.3499984741211	129	411	388	79	18.1299991607666	426	.	.	.	39.3199996948242	49.9700012207031	.	48417	7827051	104.190002441406	0	2	56	61	73	1	2	2	4	2.6700000762939	2.8900001049042	3	3	78023	78023	.	0	3	5	41.2599983215332	0	2	3	.	.	.	0	1	1	0	1	1	.	.	.
128	377	345	80	14.9399995803833	412	60.8300018310547	49.189998626709	56.5	142	419	349	59	16.5100002288818	397	53	41.310001373291	48.7700004577637	160	436	408	81	21.2399997711182	432	60.8300018310547	62.3400001525879	53.9199981689453	54.7099990844727	45.2400016784668	59.439998626709	13033	7751004	190.830001831055	0	.	59	64	77	3	2	2	5	1	1	1	1	83609	83609	.	0	0	1	60.8300018310547	2	5	4	1	1	0	0	0	1	1	1	1	1	0	1
99	350	.	23	5.15000009536743	308	37.3400001525879	54.4500007629395	35.8899993896484	103	388	293	14	10.0600004196167	329	25.6000003814697	15.0200004577637	20.4400005340576	128	377	364	17	9.98999977111816	405	49.0900001525879	41.310001373291	51.3499984741211	42.8699989318848	14.460000038147	46.4199981689453	50922	7263093	148.330001831055	0	2	48	54	65	2	1	1	5	1.6699999570847	2	2.3299999237061	2	81030	81030	.	2	4	7	37.3400001525879	8	4	11	1	4	3	1	1	1	1	1	1	1	1	1
114	382	293	54	7.36999988555908	342	41.2599983215332	49.189998626709	35.8899993896484	137	398	305	42	10.7799997329712	308	21.6900005340576	28.1599998474121	33.3199996948242	146	440	374	18	18.8199996948242	412	49.0900001525879	41.310001373291	41.0400009155273	41.689998626709	26.2999992370605	42.8699989318848	86220	7831346	342.980010986328	0	.	53	59	71	1	1	1	4	2.3299999237061	2.5599999427795	2.6700000762939	2.6700000762939	47733	47733	.	4	1	7	41.2599983215332	6	7	8	2	7	3	1	1	1	1	1	1	1	1	1
122	382	336	81	11.5100002288818	353	56.9099998474121	59.7099990844727	53.9199981689453	122	407	359	80	13.789999961853	412	60.8300018310547	46.5699996948242	53.9199981689453	128	415	379	81	18.3600006103516	447	.	.	.	58.2599983215332	52.3400001525879	.	89122	7181348	94.75	0	2	59	65	77	2	1	1	4	1.3300000429153	1.8899999856949	2.3299999237061	2	51127	51127	.	1	1	4	56.9099998474121	1	1	2	.	.	.	1	1	1	1	1	1	.	.	.
98	350	305	35	3.63000011444092	405	49.0900001525879	25.5300006866455	35.8899993896484	112	403	320	39	12.0799999237061	371	56.9099998474121	30.7900009155273	51.3499984741211	123	427	388	54	17.3400001525879	447	56.9099998474121	51.8199996948242	56.5	33.4000015258789	44.0499992370605	55.8899993896484	48417	7827051	266.850006103516	1	1	55	60	72	1	2	2	4	2.6700000762939	2.7799999713898	3.3299999237061	2.3299999237061	95028	95028	.	1	5	5	49.0900001525879	0	4	2	0	2	4	1	1	1	0	1	1	0	1	1
